tag,total pct of presence,pct of presence in 2017,pct of presence in 2018
dress,48.82,51.48,47.11
black,28.28,25.78,29.89
white,27.09,23.04,29.7
pants,26.59,24.26,28.08
midi,22.54,25.25,20.79
shirt,20.81,19.24,21.82
ski,20.42,20.68,20.25
skirt,20.04,20.46,19.77
pattern,19.5,9.43,25.98
print,18.96,15.97,20.89
fluid,18.93,13.92,22.16
blue,18.46,18.94,18.15
midi-dress,16.31,20.08,13.89
mini,16.2,15.59,16.59
asymmetrical,15.87,11.56,18.64
floral,15.6,19.85,12.87
long-sleeves,15.39,7.0,20.79
jacket,15.0,12.24,16.78
sleeveless,14.56,11.03,16.83
transparent,14.5,12.09,16.05
frill,14.26,15.67,13.36
top,13.66,12.85,14.19
oversize,13.37,11.79,14.38
red,13.16,10.49,14.87
doll,12.74,13.38,12.33
bell,12.18,9.05,14.19
stripes,11.61,11.94,11.4
delicate,11.22,11.03,11.35
embellishment,10.75,7.22,13.01
pink,10.57,9.2,11.45
coat,10.18,10.27,10.13
evening-wear,9.68,3.8,13.45
gathers,9.59,12.62,7.63
total-look,9.32,11.25,8.07
monochrome,9.2,5.17,11.79
suit,9.11,7.22,10.32
man,9.08,8.14,9.69
long-dress,9.02,7.38,10.08
belt,9.02,6.16,10.86
art,8.99,7.45,9.98
pleats,8.87,10.87,7.58
embroidery,8.4,15.97,3.52
volume,8.07,6.39,9.15
head-accessory,8.07,1.67,12.18
lace,7.89,11.56,5.53
high-waist,7.74,5.86,8.95
girly,7.38,7.6,7.24
brown,7.35,6.01,8.22
fluid-dress,7.26,6.08,8.02
wide-leg-oversize-pants,7.26,5.17,8.61
belted,7.26,5.1,8.66
short-sleeves,7.17,1.98,10.52
white-dress,7.14,7.6,6.85
cut-out,6.94,5.17,8.07
high-necked,6.94,4.79,8.32
knit,6.91,7.15,6.75
black-white,6.73,5.7,7.39
asymmetrical-dress,6.67,1.37,10.08
ruffle,6.49,5.1,7.39
black-dress,6.43,6.31,6.51
drawstring,6.43,0.68,10.13
short-dress,6.37,8.75,4.84
midi-skirt,6.13,5.17,6.75
urban,6.13,3.42,7.88
slit,6.07,5.48,6.46
pocket,6.01,6.16,5.92
vertical-stripes,6.01,4.87,6.75
grey,5.95,5.48,6.26
mini-dress,5.92,5.78,6.02
brown-hair,5.72,3.65,7.05
check,5.69,3.95,6.8
sequin,5.69,3.95,6.8
beading,5.45,6.08,5.04
minimal,5.42,5.32,5.48
tie,5.36,4.56,5.87
beige,5.3,5.17,5.38
strap,5.21,2.05,7.24
extra-long-sleeves,5.18,4.79,5.43
party,5.15,2.28,7.0
white-shirt,5.12,4.41,5.58
applique,5.12,8.59,2.89
navy,5.09,4.94,5.19
navy-blue,5.0,4.94,5.04
graphic,4.97,4.79,5.09
black-pants,4.94,5.17,4.79
blue-dress,4.88,4.03,5.43
satin,4.85,1.6,6.95
light-blue,4.82,5.55,4.35
metal,4.82,3.12,5.92
pastel-sorbet,4.58,4.71,4.5
floral-dress,4.53,3.04,5.48
knot,4.53,2.97,5.53
balloon-sleeves,4.5,4.26,4.65
yellow,4.47,4.87,4.21
green,4.44,3.12,5.28
sport,4.38,4.87,4.06
off-the-shoulder,4.38,3.5,4.94
bicolour,4.35,2.13,5.77
patch,4.32,6.46,2.94
red-dress,4.29,5.78,3.33
geometric,4.26,6.84,2.59
blouse,4.23,6.01,3.08
orange,4.2,4.26,4.16
zip,4.17,3.95,4.31
logo,4.14,3.57,4.5
bold-colours,4.08,2.97,4.79
collar,4.08,2.05,5.38
cropped-pants,3.99,2.74,4.79
light-pink,3.96,2.21,5.09
pattern-mix,3.9,1.14,5.68
v-neck,3.84,4.87,3.18
fringes,3.72,2.89,4.26
jumper,3.69,3.04,4.11
leather,3.69,6.31,2.01
layer,3.69,1.29,5.23
ribbon,3.66,4.33,3.23
shoulder-pads,3.63,0.68,5.53
silver,3.6,4.18,3.23
spaghetti-strap,3.6,0.68,5.48
statement-sleeves,3.6,1.37,5.04
deconstructed,3.6,1.37,5.04
extra-long-pants,3.57,0.61,5.48
sparkling,3.48,1.44,4.79
total-floral,3.42,3.35,3.47
metallic,3.42,1.29,4.79
total-white,3.39,1.29,4.75
pink-dress,3.36,2.51,3.91
silk,3.33,6.84,1.08
stitch,3.33,2.36,3.96
romantic,3.25,3.5,3.08
masculine,3.25,3.27,3.23
raw-edge,3.19,1.06,4.55
white-pants,3.19,1.67,4.16
multicolour,3.16,3.35,3.03
shirt-dress,3.16,4.49,2.3
bra,3.13,2.81,3.33
highwaist-skirt,3.1,1.14,4.35
highwaist-pants,3.1,1.29,4.26
blazer,3.1,0.38,4.84
mini-skirt,3.07,3.19,2.98
wrap,3.07,2.97,3.13
chestnut-hair,3.04,3.19,2.94
texture,3.04,0.23,4.84
crop-top,3.01,3.12,2.94
fitted,2.98,0.68,4.45
black-hair,2.95,1.98,3.57
tailoring,2.95,1.98,3.57
babydoll,2.95,2.21,3.42
red-carpet,2.95,1.22,4.06
round-neck,2.89,2.05,3.42
animal,2.89,4.03,2.15
pattern-all-over,2.83,2.43,3.08
high-necked-dress,2.8,3.57,2.3
tulle,2.8,2.59,2.94
long-skirt,2.77,3.65,2.2
jumpsuit,2.74,2.97,2.59
long-coat,2.74,1.22,3.72
floral-on-light-background,2.74,3.73,2.1
button,2.74,0.46,4.21
plunging-neckline,2.71,2.51,2.84
shorts,2.71,0.91,3.86
plaid,2.71,0.76,3.96
body,2.68,2.51,2.79
thin-stripes,2.65,3.5,2.1
floral-print,2.59,0.46,3.96
tee-shirt-1,2.56,2.97,2.3
glitter,2.56,1.75,3.08
dress-on-pants,2.53,2.74,2.4
double-breast,2.53,1.44,3.23
total-monochrome-look,2.5,0.68,3.67
teenager,2.5,5.1,0.83
bold-shoulders,2.5,0.53,3.77
slit-dress,2.47,0.99,3.42
circus,2.44,4.49,1.13
pastoral,2.44,4.87,0.88
blue-pants,2.44,1.9,2.79
black-skirt,2.44,1.9,2.79
patchwork,2.41,3.5,1.71
prince,2.41,3.42,1.76
mono-sleeve,2.38,1.29,3.08
bow,2.35,1.37,2.98
slogan,2.26,1.6,2.69
elastic,2.2,4.33,0.83
hood,2.2,0.99,2.98
horizontal-stripes,2.17,3.19,1.52
purple,2.14,2.21,2.1
khaki,2.14,2.59,1.86
bustier,2.14,1.44,2.59
denim,2.11,3.04,1.52
utility,2.11,2.81,1.66
flounced-sleeves,2.08,1.67,2.35
gold,2.05,2.51,1.76
white-skirt,2.05,1.44,2.45
lingerie,2.02,1.44,2.4
office-wear,1.99,0.23,3.13
polka-dot,1.99,1.22,2.5
rib-knit,1.96,2.97,1.32
asymmetrical-skirt,1.96,0.61,2.84
fish,1.94,2.28,1.71
colour-block,1.94,1.14,2.45
eyelet,1.91,2.28,1.66
cocktail,1.91,0.46,2.84
disco,1.88,2.13,1.71
princess,1.85,1.98,1.76
pearls,1.82,1.98,1.71
floral-on-dark-background,1.82,2.43,1.42
folk,1.82,4.49,0.1
rust,1.79,0.76,2.45
retro,1.79,2.51,1.32
sorbet-dress,1.79,2.28,1.47
blue-jacket,1.76,0.61,2.5
striped-dress,1.76,0.46,2.59
blue-skirt,1.73,1.29,2.01
black-jacket,1.73,0.61,2.45
royal,1.73,2.13,1.47
nature,1.73,3.35,0.68
folkloric,1.73,4.33,0.05
trenchcoat,1.7,1.98,1.52
patterned-shirt,1.7,0.61,2.4
blue-shirt,1.67,1.06,2.05
total-black,1.67,1.22,1.96
fishnet,1.67,2.13,1.37
virginal,1.64,1.44,1.76
belt-over,1.64,0.61,2.3
white-jacket,1.58,0.91,2.01
bermuda,1.58,1.9,1.37
blond-hair,1.55,0.46,2.25
drape,1.55,0.68,2.1
grey-pants,1.55,1.29,1.71
low-waist,1.52,0.23,2.35
gathered-dress,1.52,3.04,0.54
gingham,1.52,2.89,0.64
abstract,1.52,1.75,1.37
strass,1.52,0.3,2.3
green-dress,1.49,1.14,1.71
seaside,1.49,0.15,2.35
satin-dress,1.46,0.76,1.91
yellow-dress,1.46,1.83,1.22
nude,1.46,1.37,1.52
striped-pants,1.43,0.61,1.96
frayed,1.4,1.44,1.37
bodycon,1.4,0.53,1.96
warrior,1.37,3.04,0.29
slit-skirt,1.37,1.14,1.52
nomadic,1.37,1.67,1.17
sweatpants,1.34,1.06,1.52
one-pattern-all-over,1.34,1.6,1.17
western,1.34,0.3,2.01
technical,1.34,0.46,1.91
sunglasses,1.31,3.35,0.0
black-shirt,1.31,1.37,1.27
sangallo,1.31,2.59,0.49
neutral-tones,1.31,1.98,0.88
turtleneck,1.31,2.36,0.64
stripes-on-stripes,1.31,1.52,1.17
colourful-knit,1.28,0.99,1.47
corset,1.28,2.13,0.73
1990,1.28,0.46,1.81
studio-54,1.28,1.52,1.13
black-coat,1.28,0.76,1.61
oversize-shirt,1.28,1.6,1.08
victorian,1.25,1.75,0.93
cropped-jacket,1.25,0.3,1.86
beige-pants,1.25,0.53,1.71
fabric-mix,1.25,0.46,1.76
asymmetrical-top,1.25,0.61,1.66
cuff,1.25,0.15,1.96
hoodie,1.22,0.76,1.52
sweatshirt,1.22,0.84,1.47
pink-skirt,1.22,1.06,1.32
striped-shirt,1.22,0.76,1.52
leaf,1.22,1.14,1.27
lace-dress,1.22,1.52,1.03
cotton,1.22,0.0,2.01
star,1.22,1.44,1.08
short-hair,1.22,1.22,1.22
pleated-skirt,1.19,0.76,1.47
schoolgirl,1.19,0.76,1.47
cardigan,1.19,0.84,1.42
tapestry,1.19,1.9,0.73
brocard,1.19,0.0,1.96
pink-pants,1.16,1.06,1.22
tank-top,1.16,1.44,0.98
slipdress,1.16,0.68,1.47
bold-floral,1.16,0.23,1.76
barbie,1.16,0.68,1.47
skirt-suit,1.16,1.14,1.17
total-sequin,1.16,0.38,1.66
pajama,1.16,1.29,1.08
rustic,1.16,0.0,1.91
ballerina,1.16,2.59,0.24
swimsuit,1.13,1.22,1.08
neoprene,1.13,2.66,0.15
flash,1.13,0.3,1.66
check-jacket,1.13,0.91,1.27
floral-skirt,1.13,0.91,1.27
grey-dress,1.13,0.68,1.42
lame,1.13,2.43,0.29
pencil-skirt,1.13,0.91,1.27
scarf,1.13,0.08,1.81
trouser-cuff,1.13,0.0,1.86
white-coat,1.1,1.14,1.08
nothing-under,1.1,0.38,1.57
architecture,1.1,0.3,1.61
gown,1.1,0.68,1.37
peplum,1.1,1.75,0.68
destroy,1.07,0.99,1.13
cream,1.07,1.67,0.68
dyed-hair,1.07,0.99,1.13
knit-dress,1.07,0.68,1.32
sequin-dress,1.07,0.38,1.52
quilted,1.04,1.06,1.03
creased,1.04,2.28,0.24
ruffled-collar,1.04,0.84,1.17
polka-dot-dress,1.04,0.84,1.17
crossed-jacket,1.04,0.0,1.71
logo-tee-shirt,1.01,0.68,1.22
masculine-feminine,1.01,1.52,0.68
broderie-anglaise,1.01,1.29,0.83
oriental,1.01,2.59,0.0
hot-pants,1.01,0.53,1.32
flare-pants,1.01,0.38,1.42
hat,1.01,0.0,1.66
bomber,0.98,1.22,0.83
raincoat,0.98,0.23,1.47
orange-dress,0.98,0.61,1.22
blue-coat,0.98,0.68,1.17
linen,0.98,1.37,0.73
grey-jacket,0.98,0.46,1.32
feather,0.98,0.76,1.13
black-white-colour-block,0.98,0.38,1.37
fur,0.98,0.76,1.13
just-a-coat,0.95,0.84,1.03
vinyl,0.95,1.29,0.73
check-dress,0.95,1.22,0.78
knit-top,0.95,0.99,0.93
stones,0.95,0.46,1.27
visible-underwear,0.95,0.46,1.27
white-tee-shirt,0.92,0.46,1.22
rolled-up-sleeves,0.92,0.46,1.22
low-waist-pants,0.92,0.15,1.42
wrap-skirt,0.92,0.23,1.37
total-knit,0.92,1.06,0.83
halterneck,0.92,0.23,1.37
buckle,0.92,0.23,1.37
mini-shorts,0.92,0.0,1.52
beige-dress,0.89,1.29,0.64
pinstripe,0.89,0.46,1.17
nudity,0.89,0.15,1.37
striped-jacket,0.89,0.38,1.22
plastic,0.89,0.0,1.47
ballerina-shoes,0.89,2.28,0.0
denim-pants,0.86,0.99,0.78
draped-dress,0.86,0.38,1.17
animal-print,0.86,0.91,0.83
lace-up,0.86,1.14,0.68
mesh,0.86,1.75,0.29
floral-embroidery,0.86,0.61,1.03
piping,0.86,0.0,1.42
leather-jacket,0.83,1.06,0.68
striped-skirt,0.83,0.53,1.03
officer,0.83,0.99,0.73
nylon,0.83,0.53,1.03
windbreaker,0.83,0.76,0.88
grey-skirt,0.83,0.38,1.13
fluo,0.83,0.08,1.32
navy-blue-dress,0.83,0.15,1.27
psychedelic,0.83,1.83,0.2
black-shorts,0.83,0.23,1.22
cap,0.83,0.76,0.88
black-head-to-toe,0.8,1.06,0.64
red-pants,0.8,0.46,1.03
oversize-coat,0.8,0.23,1.17
check-skirt,0.8,0.61,0.93
tiered-dress,0.8,1.14,0.59
beach,0.8,0.46,1.03
dotted,0.8,0.0,1.32
coat-dress,0.8,0.15,1.22
total-blue,0.77,0.61,0.88
high-slit,0.77,1.44,0.34
greece,0.77,1.83,0.1
sequin-pants,0.77,0.61,0.88
crochet,0.77,1.14,0.54
polo,0.77,0.61,0.88
lavender,0.77,1.14,0.54
bold-stripes,0.77,0.3,1.08
purple-dress,0.74,0.68,0.78
rock,0.74,1.29,0.39
denim-jacket,0.74,0.91,0.64
furry-shoes,0.74,0.38,0.98
ribs,0.74,1.22,0.44
wrap-dress,0.74,0.46,0.93
light-yellow,0.74,0.91,0.64
bridal,0.74,0.08,1.17
navy-blue-pants,0.74,0.38,0.98
1970,0.74,0.3,1.03
panties,0.74,0.3,1.03
white-jumper,0.74,0.38,0.98
total-red,0.71,0.15,1.08
burgundy,0.71,0.99,0.54
pink-jacket,0.71,0.15,1.08
wave,0.71,0.0,1.17
jungle,0.68,1.29,0.29
lilac,0.68,0.76,0.64
beige-coat,0.68,0.38,0.88
tropical,0.68,1.22,0.34
futuristic,0.68,0.99,0.49
legging,0.68,0.15,1.03
cape,0.68,0.76,0.64
sport-jacket,0.68,0.3,0.93
red-skirt,0.68,0.46,0.83
guipur,0.68,0.99,0.49
high-necked-top,0.65,1.14,0.34
crossed-coat,0.65,0.46,0.78
zebra,0.65,0.99,0.44
japan,0.65,0.61,0.68
orange-skirt,0.65,0.68,0.64
sand,0.65,0.08,1.03
bag,0.65,0.53,0.73
roses,0.63,0.76,0.54
ladylike,0.63,0.15,0.93
blue-denim,0.63,1.22,0.24
total-pink,0.63,0.23,0.88
fluid-pants,0.63,0.15,0.93
contrasted-stitch,0.63,1.22,0.24
tunic,0.63,1.29,0.2
patterned-knit,0.63,0.08,0.98
ivory,0.63,0.61,0.64
logo-sweatshirt,0.63,0.15,0.93
contoured-body,0.6,0.84,0.44
thin-straps-on-long-sleeves,0.6,0.53,0.64
military,0.6,0.76,0.49
palazzo-pants,0.6,0.53,0.64
amish,0.6,0.84,0.44
rural,0.6,0.3,0.78
parka,0.6,0.53,0.64
lightweight-windbreaker,0.6,0.38,0.73
colourful-tailoring,0.6,0.53,0.64
green-jacket,0.6,0.08,0.93
beige-jacket,0.6,0.0,0.98
headscarf,0.6,0.08,0.93
gothic,0.57,0.46,0.64
colourful-leather,0.57,0.76,0.44
athletic,0.57,0.99,0.29
frayed-bottom,0.57,0.61,0.54
widow,0.57,0.15,0.83
tweed,0.57,0.84,0.39
mini-skirt-suit,0.57,0.46,0.64
tracksuit,0.57,0.08,0.88
pink-coat,0.57,0.61,0.54
cable-knit,0.57,0.68,0.49
safari,0.57,0.76,0.44
chunky-knit,0.57,0.46,0.64
smocks,0.57,0.15,0.83
jewel-embellishment,0.57,0.15,0.83
black-suit,0.57,0.38,0.68
zigzag,0.57,1.14,0.2
knit-skirt,0.57,0.08,0.88
boudoir,0.57,0.0,0.93
piercing,0.57,0.76,0.44
shark-collar,0.57,0.0,0.93
skater-dress,0.54,0.68,0.44
cut-out-knit,0.54,0.46,0.59
floral-shirt,0.54,0.53,0.54
army,0.54,0.76,0.39
sleeveless-jacket,0.54,0.3,0.68
embellished-collar,0.54,0.08,0.83
steep,0.54,0.38,0.64
bohemian,0.54,0.38,0.64
floral-jacket,0.54,0.76,0.39
grunge,0.54,1.29,0.05
silver-dress,0.54,0.23,0.73
earthy-tones,0.54,0.0,0.88
fine-knit,0.54,0.46,0.59
beige-shirt,0.54,0.08,0.83
red-shirt,0.51,0.23,0.68
pagoda-sleeve,0.51,1.06,0.15
total-yellow,0.51,0.46,0.54
kitsch,0.51,1.14,0.1
1980,0.51,0.61,0.44
claudine,0.51,0.68,0.39
floral-mix,0.51,0.23,0.68
olive,0.51,0.76,0.34
green-skirt,0.51,0.53,0.49
lurex,0.51,1.29,0.0
embellished-denim,0.51,0.91,0.24
3d,0.51,0.76,0.34
hole,0.51,0.38,0.59
high-low-hem,0.51,0.0,0.83
organza,0.51,0.0,0.83
childish,0.51,0.0,0.83
multicolored-stripes,0.51,0.08,0.78
short-sleeved-shirt,0.51,0.3,0.64
jacquard,0.51,0.15,0.73
trapeze-skirt,0.51,0.23,0.68
prince-of-wales,0.48,1.22,0.0
floral-transparency,0.48,0.61,0.39
graffiti,0.48,0.91,0.2
dance,0.48,1.06,0.1
conceptual,0.48,1.22,0.0
