tag,total pct of presence,pct of presence in 2017,pct of presence in 2018,Absolute change,Relative change
dress,48.82,51.48,47.11,-4.37,-8.49
black,28.28,25.78,29.89,4.11,15.94
white,27.09,23.04,29.7,6.66,28.91
pants,26.59,24.26,28.08,3.82,15.75
midi,22.54,25.25,20.79,-4.46,-17.66
shirt,20.81,19.24,21.82,2.58,13.41
ski,20.42,20.68,20.25,-0.43,-2.08
skirt,20.04,20.46,19.77,-0.69,-3.37
pattern,19.5,9.43,25.98,16.55,175.5
print,18.96,15.97,20.89,4.92,30.81
fluid,18.93,13.92,22.16,8.24,59.2
blue,18.46,18.94,18.15,-0.79,-4.17
midi-dress,16.31,20.08,13.89,-6.19,-30.83
mini,16.2,15.59,16.59,1.0,6.41
asymmetrical,15.87,11.56,18.64,7.08,61.25
floral,15.6,19.85,12.87,-6.98,-35.16
long-sleeves,15.39,7.0,20.79,13.79,197.0
jacket,15.0,12.24,16.78,4.54,37.09
sleeveless,14.56,11.03,16.83,5.8,52.58
transparent,14.5,12.09,16.05,3.96,32.75
frill,14.26,15.67,13.36,-2.31,-14.74
top,13.66,12.85,14.19,1.34,10.43
oversize,13.37,11.79,14.38,2.59,21.97
red,13.16,10.49,14.87,4.38,41.75
doll,12.74,13.38,12.33,-1.05,-7.85
bell,12.18,9.05,14.19,5.14,56.8
stripes,11.61,11.94,11.4,-0.54,-4.52
delicate,11.22,11.03,11.35,0.32,2.9
embellishment,10.75,7.22,13.01,5.79,80.19
pink,10.57,9.2,11.45,2.25,24.46
coat,10.18,10.27,10.13,-0.14,-1.36
evening-wear,9.68,3.8,13.45,9.65,253.95
gathers,9.59,12.62,7.63,-4.99,-39.54
total-look,9.32,11.25,8.07,-3.18,-28.27
monochrome,9.2,5.17,11.79,6.62,128.05
suit,9.11,7.22,10.32,3.1,42.94
man,9.08,8.14,9.69,1.55,19.04
long-dress,9.02,7.38,10.08,2.7,36.59
belt,9.02,6.16,10.86,4.7,76.3
art,8.99,7.45,9.98,2.53,33.96
pleats,8.87,10.87,7.58,-3.29,-30.27
embroidery,8.4,15.97,3.52,-12.45,-77.96
volume,8.07,6.39,9.15,2.76,43.19
head-accessory,8.07,1.67,12.18,10.51,629.34
lace,7.89,11.56,5.53,-6.03,-52.16
high-waist,7.74,5.86,8.95,3.09,52.73
girly,7.38,7.6,7.24,-0.36,-4.74
brown,7.35,6.01,8.22,2.21,36.77
fluid-dress,7.26,6.08,8.02,1.94,31.91
wide-leg-oversize-pants,7.26,5.17,8.61,3.44,66.54
belted,7.26,5.1,8.66,3.56,69.8
short-sleeves,7.17,1.98,10.52,8.54,431.31
white-dress,7.14,7.6,6.85,-0.75,-9.87
cut-out,6.94,5.17,8.07,2.9,56.09
high-necked,6.94,4.79,8.32,3.53,73.7
knit,6.91,7.15,6.75,-0.4,-5.59
black-white,6.73,5.7,7.39,1.69,29.65
asymmetrical-dress,6.67,1.37,10.08,8.71,635.77
ruffle,6.49,5.1,7.39,2.29,44.9
black-dress,6.43,6.31,6.51,0.2,3.17
drawstring,6.43,0.68,10.13,9.45,1389.71
short-dress,6.37,8.75,4.84,-3.91,-44.69
midi-skirt,6.13,5.17,6.75,1.58,30.56
urban,6.13,3.42,7.88,4.46,130.41
slit,6.07,5.48,6.46,0.98,17.88
pocket,6.01,6.16,5.92,-0.24,-3.9
vertical-stripes,6.01,4.87,6.75,1.88,38.6
grey,5.95,5.48,6.26,0.78,14.23
mini-dress,5.92,5.78,6.02,0.24,4.15
brown-hair,5.72,3.65,7.05,3.4,93.15
check,5.69,3.95,6.8,2.85,72.15
sequin,5.69,3.95,6.8,2.85,72.15
beading,5.45,6.08,5.04,-1.04,-17.11
minimal,5.42,5.32,5.48,0.16,3.01
tie,5.36,4.56,5.87,1.31,28.73
beige,5.3,5.17,5.38,0.21,4.06
strap,5.21,2.05,7.24,5.19,253.17
extra-long-sleeves,5.18,4.79,5.43,0.64,13.36
party,5.15,2.28,7.0,4.72,207.02
white-shirt,5.12,4.41,5.58,1.17,26.53
applique,5.12,8.59,2.89,-5.7,-66.36
navy,5.09,4.94,5.19,0.25,5.06
navy-blue,5.0,4.94,5.04,0.1,2.02
graphic,4.97,4.79,5.09,0.3,6.26
black-pants,4.94,5.17,4.79,-0.38,-7.35
blue-dress,4.88,4.03,5.43,1.4,34.74
satin,4.85,1.6,6.95,5.35,334.37
light-blue,4.82,5.55,4.35,-1.2,-21.62
metal,4.82,3.12,5.92,2.8,89.74
pastel-sorbet,4.58,4.71,4.5,-0.21,-4.46
floral-dress,4.53,3.04,5.48,2.44,80.26
knot,4.53,2.97,5.53,2.56,86.2
balloon-sleeves,4.5,4.26,4.65,0.39,9.15
yellow,4.47,4.87,4.21,-0.66,-13.55
green,4.44,3.12,5.28,2.16,69.23
sport,4.38,4.87,4.06,-0.81,-16.63
off-the-shoulder,4.38,3.5,4.94,1.44,41.14
bicolour,4.35,2.13,5.77,3.64,170.89
patch,4.32,6.46,2.94,-3.52,-54.49
red-dress,4.29,5.78,3.33,-2.45,-42.39
geometric,4.26,6.84,2.59,-4.25,-62.13
blouse,4.23,6.01,3.08,-2.93,-48.75
orange,4.2,4.26,4.16,-0.1,-2.35
zip,4.17,3.95,4.31,0.36,9.11
logo,4.14,3.57,4.5,0.93,26.05
bold-colours,4.08,2.97,4.79,1.82,61.28
collar,4.08,2.05,5.38,3.33,162.44
cropped-pants,3.99,2.74,4.79,2.05,74.82
light-pink,3.96,2.21,5.09,2.88,130.32
pattern-mix,3.9,1.14,5.68,4.54,398.25
v-neck,3.84,4.87,3.18,-1.69,-34.7
fringes,3.72,2.89,4.26,1.37,47.4
jumper,3.69,3.04,4.11,1.07,35.2
leather,3.69,6.31,2.01,-4.3,-68.15
layer,3.69,1.29,5.23,3.94,305.43
ribbon,3.66,4.33,3.23,-1.1,-25.4
shoulder-pads,3.63,0.68,5.53,4.85,713.24
silver,3.6,4.18,3.23,-0.95,-22.73
spaghetti-strap,3.6,0.68,5.48,4.8,705.88
statement-sleeves,3.6,1.37,5.04,3.67,267.88
deconstructed,3.6,1.37,5.04,3.67,267.88
extra-long-pants,3.57,0.61,5.48,4.87,798.36
sparkling,3.48,1.44,4.79,3.35,232.64
total-floral,3.42,3.35,3.47,0.12,3.58
metallic,3.42,1.29,4.79,3.5,271.32
total-white,3.39,1.29,4.75,3.46,268.22
pink-dress,3.36,2.51,3.91,1.4,55.78
silk,3.33,6.84,1.08,-5.76,-84.21
stitch,3.33,2.36,3.96,1.6,67.8
romantic,3.25,3.5,3.08,-0.42,-12.0
masculine,3.25,3.27,3.23,-0.04,-1.22
raw-edge,3.19,1.06,4.55,3.49,329.25
white-pants,3.19,1.67,4.16,2.49,149.1
multicolour,3.16,3.35,3.03,-0.32,-9.55
shirt-dress,3.16,4.49,2.3,-2.19,-48.78
bra,3.13,2.81,3.33,0.52,18.51
highwaist-skirt,3.1,1.14,4.35,3.21,281.58
highwaist-pants,3.1,1.29,4.26,2.97,230.23
blazer,3.1,0.38,4.84,4.46,1173.68
mini-skirt,3.07,3.19,2.98,-0.21,-6.58
wrap,3.07,2.97,3.13,0.16,5.39
chestnut-hair,3.04,3.19,2.94,-0.25,-7.84
texture,3.04,0.23,4.84,4.61,2004.35
crop-top,3.01,3.12,2.94,-0.18,-5.77
fitted,2.98,0.68,4.45,3.77,554.41
black-hair,2.95,1.98,3.57,1.59,80.3
tailoring,2.95,1.98,3.57,1.59,80.3
babydoll,2.95,2.21,3.42,1.21,54.75
red-carpet,2.95,1.22,4.06,2.84,232.79
round-neck,2.89,2.05,3.42,1.37,66.83
animal,2.89,4.03,2.15,-1.88,-46.65
pattern-all-over,2.83,2.43,3.08,0.65,26.75
high-necked-dress,2.8,3.57,2.3,-1.27,-35.57
tulle,2.8,2.59,2.94,0.35,13.51
long-skirt,2.77,3.65,2.2,-1.45,-39.73
jumpsuit,2.74,2.97,2.59,-0.38,-12.79
long-coat,2.74,1.22,3.72,2.5,204.92
floral-on-light-background,2.74,3.73,2.1,-1.63,-43.7
button,2.74,0.46,4.21,3.75,815.22
plunging-neckline,2.71,2.51,2.84,0.33,13.15
shorts,2.71,0.91,3.86,2.95,324.18
plaid,2.71,0.76,3.96,3.2,421.05
body,2.68,2.51,2.79,0.28,11.16
thin-stripes,2.65,3.5,2.1,-1.4,-40.0
floral-print,2.59,0.46,3.96,3.5,760.87
tee-shirt-1,2.56,2.97,2.3,-0.67,-22.56
glitter,2.56,1.75,3.08,1.33,76.0
dress-on-pants,2.53,2.74,2.4,-0.34,-12.41
double-breast,2.53,1.44,3.23,1.79,124.31
total-monochrome-look,2.5,0.68,3.67,2.99,439.71
teenager,2.5,5.1,0.83,-4.27,-83.73
bold-shoulders,2.5,0.53,3.77,3.24,611.32
slit-dress,2.47,0.99,3.42,2.43,245.45
circus,2.44,4.49,1.13,-3.36,-74.83
pastoral,2.44,4.87,0.88,-3.99,-81.93
blue-pants,2.44,1.9,2.79,0.89,46.84
black-skirt,2.44,1.9,2.79,0.89,46.84
patchwork,2.41,3.5,1.71,-1.79,-51.14
prince,2.41,3.42,1.76,-1.66,-48.54
mono-sleeve,2.38,1.29,3.08,1.79,138.76
bow,2.35,1.37,2.98,1.61,117.52
slogan,2.26,1.6,2.69,1.09,68.12
elastic,2.2,4.33,0.83,-3.5,-80.83
hood,2.2,0.99,2.98,1.99,201.01
horizontal-stripes,2.17,3.19,1.52,-1.67,-52.35
purple,2.14,2.21,2.1,-0.11,-4.98
khaki,2.14,2.59,1.86,-0.73,-28.19
bustier,2.14,1.44,2.59,1.15,79.86
denim,2.11,3.04,1.52,-1.52,-50.0
utility,2.11,2.81,1.66,-1.15,-40.93
flounced-sleeves,2.08,1.67,2.35,0.68,40.72
gold,2.05,2.51,1.76,-0.75,-29.88
white-skirt,2.05,1.44,2.45,1.01,70.14
lingerie,2.02,1.44,2.4,0.96,66.67
office-wear,1.99,0.23,3.13,2.9,1260.87
polka-dot,1.99,1.22,2.5,1.28,104.92
rib-knit,1.96,2.97,1.32,-1.65,-55.56
asymmetrical-skirt,1.96,0.61,2.84,2.23,365.57
fish,1.94,2.28,1.71,-0.57,-25.0
colour-block,1.94,1.14,2.45,1.31,114.91
eyelet,1.91,2.28,1.66,-0.62,-27.19
cocktail,1.91,0.46,2.84,2.38,517.39
disco,1.88,2.13,1.71,-0.42,-19.72
princess,1.85,1.98,1.76,-0.22,-11.11
pearls,1.82,1.98,1.71,-0.27,-13.64
floral-on-dark-background,1.82,2.43,1.42,-1.01,-41.56
folk,1.82,4.49,0.1,-4.39,-97.77
rust,1.79,0.76,2.45,1.69,222.37
retro,1.79,2.51,1.32,-1.19,-47.41
sorbet-dress,1.79,2.28,1.47,-0.81,-35.53
blue-jacket,1.76,0.61,2.5,1.89,309.84
striped-dress,1.76,0.46,2.59,2.13,463.04
blue-skirt,1.73,1.29,2.01,0.72,55.81
black-jacket,1.73,0.61,2.45,1.84,301.64
royal,1.73,2.13,1.47,-0.66,-30.99
nature,1.73,3.35,0.68,-2.67,-79.7
folkloric,1.73,4.33,0.05,-4.28,-98.85
trenchcoat,1.7,1.98,1.52,-0.46,-23.23
patterned-shirt,1.7,0.61,2.4,1.79,293.44
blue-shirt,1.67,1.06,2.05,0.99,93.4
total-black,1.67,1.22,1.96,0.74,60.66
fishnet,1.67,2.13,1.37,-0.76,-35.68
virginal,1.64,1.44,1.76,0.32,22.22
belt-over,1.64,0.61,2.3,1.69,277.05
white-jacket,1.58,0.91,2.01,1.1,120.88
bermuda,1.58,1.9,1.37,-0.53,-27.89
blond-hair,1.55,0.46,2.25,1.79,389.13
drape,1.55,0.68,2.1,1.42,208.82
grey-pants,1.55,1.29,1.71,0.42,32.56
low-waist,1.52,0.23,2.35,2.12,921.74
gathered-dress,1.52,3.04,0.54,-2.5,-82.24
gingham,1.52,2.89,0.64,-2.25,-77.85
abstract,1.52,1.75,1.37,-0.38,-21.71
strass,1.52,0.3,2.3,2.0,666.67
green-dress,1.49,1.14,1.71,0.57,50.0
seaside,1.49,0.15,2.35,2.2,1466.67
satin-dress,1.46,0.76,1.91,1.15,151.32
yellow-dress,1.46,1.83,1.22,-0.61,-33.33
nude,1.46,1.37,1.52,0.15,10.95
striped-pants,1.43,0.61,1.96,1.35,221.31
frayed,1.4,1.44,1.37,-0.07,-4.86
bodycon,1.4,0.53,1.96,1.43,269.81
warrior,1.37,3.04,0.29,-2.75,-90.46
slit-skirt,1.37,1.14,1.52,0.38,33.33
nomadic,1.37,1.67,1.17,-0.5,-29.94
sweatpants,1.34,1.06,1.52,0.46,43.4
one-pattern-all-over,1.34,1.6,1.17,-0.43,-26.88
western,1.34,0.3,2.01,1.71,570.0
technical,1.34,0.46,1.91,1.45,315.22
sunglasses,1.31,3.35,0.0,-3.35,-100.0
black-shirt,1.31,1.37,1.27,-0.1,-7.3
sangallo,1.31,2.59,0.49,-2.1,-81.08
neutral-tones,1.31,1.98,0.88,-1.1,-55.56
turtleneck,1.31,2.36,0.64,-1.72,-72.88
stripes-on-stripes,1.31,1.52,1.17,-0.35,-23.03
colourful-knit,1.28,0.99,1.47,0.48,48.48
corset,1.28,2.13,0.73,-1.4,-65.73
1990,1.28,0.46,1.81,1.35,293.48
studio-54,1.28,1.52,1.13,-0.39,-25.66
black-coat,1.28,0.76,1.61,0.85,111.84
oversize-shirt,1.28,1.6,1.08,-0.52,-32.5
victorian,1.25,1.75,0.93,-0.82,-46.86
cropped-jacket,1.25,0.3,1.86,1.56,520.0
beige-pants,1.25,0.53,1.71,1.18,222.64
fabric-mix,1.25,0.46,1.76,1.3,282.61
asymmetrical-top,1.25,0.61,1.66,1.05,172.13
cuff,1.25,0.15,1.96,1.81,1206.67
hoodie,1.22,0.76,1.52,0.76,100.0
sweatshirt,1.22,0.84,1.47,0.63,75.0
pink-skirt,1.22,1.06,1.32,0.26,24.53
striped-shirt,1.22,0.76,1.52,0.76,100.0
leaf,1.22,1.14,1.27,0.13,11.4
lace-dress,1.22,1.52,1.03,-0.49,-32.24
cotton,1.22,0.0,2.01,2.01,inf
star,1.22,1.44,1.08,-0.36,-25.0
short-hair,1.22,1.22,1.22,0.0,0.0
pleated-skirt,1.19,0.76,1.47,0.71,93.42
schoolgirl,1.19,0.76,1.47,0.71,93.42
cardigan,1.19,0.84,1.42,0.58,69.05
tapestry,1.19,1.9,0.73,-1.17,-61.58
brocard,1.19,0.0,1.96,1.96,inf
pink-pants,1.16,1.06,1.22,0.16,15.09
tank-top,1.16,1.44,0.98,-0.46,-31.94
slipdress,1.16,0.68,1.47,0.79,116.18
bold-floral,1.16,0.23,1.76,1.53,665.22
barbie,1.16,0.68,1.47,0.79,116.18
skirt-suit,1.16,1.14,1.17,0.03,2.63
total-sequin,1.16,0.38,1.66,1.28,336.84
pajama,1.16,1.29,1.08,-0.21,-16.28
rustic,1.16,0.0,1.91,1.91,inf
ballerina,1.16,2.59,0.24,-2.35,-90.73
swimsuit,1.13,1.22,1.08,-0.14,-11.48
neoprene,1.13,2.66,0.15,-2.51,-94.36
flash,1.13,0.3,1.66,1.36,453.33
check-jacket,1.13,0.91,1.27,0.36,39.56
floral-skirt,1.13,0.91,1.27,0.36,39.56
grey-dress,1.13,0.68,1.42,0.74,108.82
lame,1.13,2.43,0.29,-2.14,-88.07
pencil-skirt,1.13,0.91,1.27,0.36,39.56
scarf,1.13,0.08,1.81,1.73,2162.5
trouser-cuff,1.13,0.0,1.86,1.86,inf
white-coat,1.1,1.14,1.08,-0.06,-5.26
nothing-under,1.1,0.38,1.57,1.19,313.16
architecture,1.1,0.3,1.61,1.31,436.67
gown,1.1,0.68,1.37,0.69,101.47
peplum,1.1,1.75,0.68,-1.07,-61.14
destroy,1.07,0.99,1.13,0.14,14.14
cream,1.07,1.67,0.68,-0.99,-59.28
dyed-hair,1.07,0.99,1.13,0.14,14.14
knit-dress,1.07,0.68,1.32,0.64,94.12
sequin-dress,1.07,0.38,1.52,1.14,300.0
quilted,1.04,1.06,1.03,-0.03,-2.83
creased,1.04,2.28,0.24,-2.04,-89.47
ruffled-collar,1.04,0.84,1.17,0.33,39.29
polka-dot-dress,1.04,0.84,1.17,0.33,39.29
crossed-jacket,1.04,0.0,1.71,1.71,inf
logo-tee-shirt,1.01,0.68,1.22,0.54,79.41
masculine-feminine,1.01,1.52,0.68,-0.84,-55.26
broderie-anglaise,1.01,1.29,0.83,-0.46,-35.66
oriental,1.01,2.59,0.0,-2.59,-100.0
hot-pants,1.01,0.53,1.32,0.79,149.06
flare-pants,1.01,0.38,1.42,1.04,273.68
hat,1.01,0.0,1.66,1.66,inf
bomber,0.98,1.22,0.83,-0.39,-31.97
raincoat,0.98,0.23,1.47,1.24,539.13
orange-dress,0.98,0.61,1.22,0.61,100.0
blue-coat,0.98,0.68,1.17,0.49,72.06
linen,0.98,1.37,0.73,-0.64,-46.72
grey-jacket,0.98,0.46,1.32,0.86,186.96
feather,0.98,0.76,1.13,0.37,48.68
black-white-colour-block,0.98,0.38,1.37,0.99,260.53
fur,0.98,0.76,1.13,0.37,48.68
just-a-coat,0.95,0.84,1.03,0.19,22.62
vinyl,0.95,1.29,0.73,-0.56,-43.41
check-dress,0.95,1.22,0.78,-0.44,-36.07
knit-top,0.95,0.99,0.93,-0.06,-6.06
stones,0.95,0.46,1.27,0.81,176.09
visible-underwear,0.95,0.46,1.27,0.81,176.09
white-tee-shirt,0.92,0.46,1.22,0.76,165.22
rolled-up-sleeves,0.92,0.46,1.22,0.76,165.22
low-waist-pants,0.92,0.15,1.42,1.27,846.67
wrap-skirt,0.92,0.23,1.37,1.14,495.65
total-knit,0.92,1.06,0.83,-0.23,-21.7
halterneck,0.92,0.23,1.37,1.14,495.65
buckle,0.92,0.23,1.37,1.14,495.65
mini-shorts,0.92,0.0,1.52,1.52,inf
beige-dress,0.89,1.29,0.64,-0.65,-50.39
pinstripe,0.89,0.46,1.17,0.71,154.35
nudity,0.89,0.15,1.37,1.22,813.33
striped-jacket,0.89,0.38,1.22,0.84,221.05
plastic,0.89,0.0,1.47,1.47,inf
ballerina-shoes,0.89,2.28,0.0,-2.28,-100.0
denim-pants,0.86,0.99,0.78,-0.21,-21.21
draped-dress,0.86,0.38,1.17,0.79,207.89
animal-print,0.86,0.91,0.83,-0.08,-8.79
lace-up,0.86,1.14,0.68,-0.46,-40.35
mesh,0.86,1.75,0.29,-1.46,-83.43
floral-embroidery,0.86,0.61,1.03,0.42,68.85
piping,0.86,0.0,1.42,1.42,inf
leather-jacket,0.83,1.06,0.68,-0.38,-35.85
striped-skirt,0.83,0.53,1.03,0.5,94.34
officer,0.83,0.99,0.73,-0.26,-26.26
nylon,0.83,0.53,1.03,0.5,94.34
windbreaker,0.83,0.76,0.88,0.12,15.79
grey-skirt,0.83,0.38,1.13,0.75,197.37
fluo,0.83,0.08,1.32,1.24,1550.0
navy-blue-dress,0.83,0.15,1.27,1.12,746.67
psychedelic,0.83,1.83,0.2,-1.63,-89.07
black-shorts,0.83,0.23,1.22,0.99,430.43
cap,0.83,0.76,0.88,0.12,15.79
black-head-to-toe,0.8,1.06,0.64,-0.42,-39.62
red-pants,0.8,0.46,1.03,0.57,123.91
oversize-coat,0.8,0.23,1.17,0.94,408.7
check-skirt,0.8,0.61,0.93,0.32,52.46
tiered-dress,0.8,1.14,0.59,-0.55,-48.25
beach,0.8,0.46,1.03,0.57,123.91
dotted,0.8,0.0,1.32,1.32,inf
coat-dress,0.8,0.15,1.22,1.07,713.33
total-blue,0.77,0.61,0.88,0.27,44.26
high-slit,0.77,1.44,0.34,-1.1,-76.39
greece,0.77,1.83,0.1,-1.73,-94.54
sequin-pants,0.77,0.61,0.88,0.27,44.26
crochet,0.77,1.14,0.54,-0.6,-52.63
polo,0.77,0.61,0.88,0.27,44.26
lavender,0.77,1.14,0.54,-0.6,-52.63
bold-stripes,0.77,0.3,1.08,0.78,260.0
purple-dress,0.74,0.68,0.78,0.1,14.71
rock,0.74,1.29,0.39,-0.9,-69.77
denim-jacket,0.74,0.91,0.64,-0.27,-29.67
furry-shoes,0.74,0.38,0.98,0.6,157.89
ribs,0.74,1.22,0.44,-0.78,-63.93
wrap-dress,0.74,0.46,0.93,0.47,102.17
light-yellow,0.74,0.91,0.64,-0.27,-29.67
bridal,0.74,0.08,1.17,1.09,1362.5
navy-blue-pants,0.74,0.38,0.98,0.6,157.89
1970,0.74,0.3,1.03,0.73,243.33
panties,0.74,0.3,1.03,0.73,243.33
white-jumper,0.74,0.38,0.98,0.6,157.89
total-red,0.71,0.15,1.08,0.93,620.0
burgundy,0.71,0.99,0.54,-0.45,-45.45
pink-jacket,0.71,0.15,1.08,0.93,620.0
wave,0.71,0.0,1.17,1.17,inf
jungle,0.68,1.29,0.29,-1.0,-77.52
lilac,0.68,0.76,0.64,-0.12,-15.79
beige-coat,0.68,0.38,0.88,0.5,131.58
tropical,0.68,1.22,0.34,-0.88,-72.13
futuristic,0.68,0.99,0.49,-0.5,-50.51
legging,0.68,0.15,1.03,0.88,586.67
cape,0.68,0.76,0.64,-0.12,-15.79
sport-jacket,0.68,0.3,0.93,0.63,210.0
red-skirt,0.68,0.46,0.83,0.37,80.43
guipur,0.68,0.99,0.49,-0.5,-50.51
high-necked-top,0.65,1.14,0.34,-0.8,-70.18
crossed-coat,0.65,0.46,0.78,0.32,69.57
zebra,0.65,0.99,0.44,-0.55,-55.56
japan,0.65,0.61,0.68,0.07,11.48
orange-skirt,0.65,0.68,0.64,-0.04,-5.88
sand,0.65,0.08,1.03,0.95,1187.5
bag,0.65,0.53,0.73,0.2,37.74
roses,0.63,0.76,0.54,-0.22,-28.95
ladylike,0.63,0.15,0.93,0.78,520.0
blue-denim,0.63,1.22,0.24,-0.98,-80.33
total-pink,0.63,0.23,0.88,0.65,282.61
fluid-pants,0.63,0.15,0.93,0.78,520.0
contrasted-stitch,0.63,1.22,0.24,-0.98,-80.33
tunic,0.63,1.29,0.2,-1.09,-84.5
patterned-knit,0.63,0.08,0.98,0.9,1125.0
ivory,0.63,0.61,0.64,0.03,4.92
logo-sweatshirt,0.63,0.15,0.93,0.78,520.0
contoured-body,0.6,0.84,0.44,-0.4,-47.62
thin-straps-on-long-sleeves,0.6,0.53,0.64,0.11,20.75
military,0.6,0.76,0.49,-0.27,-35.53
palazzo-pants,0.6,0.53,0.64,0.11,20.75
amish,0.6,0.84,0.44,-0.4,-47.62
rural,0.6,0.3,0.78,0.48,160.0
parka,0.6,0.53,0.64,0.11,20.75
lightweight-windbreaker,0.6,0.38,0.73,0.35,92.11
colourful-tailoring,0.6,0.53,0.64,0.11,20.75
green-jacket,0.6,0.08,0.93,0.85,1062.5
beige-jacket,0.6,0.0,0.98,0.98,inf
headscarf,0.6,0.08,0.93,0.85,1062.5
gothic,0.57,0.46,0.64,0.18,39.13
colourful-leather,0.57,0.76,0.44,-0.32,-42.11
athletic,0.57,0.99,0.29,-0.7,-70.71
frayed-bottom,0.57,0.61,0.54,-0.07,-11.48
widow,0.57,0.15,0.83,0.68,453.33
tweed,0.57,0.84,0.39,-0.45,-53.57
mini-skirt-suit,0.57,0.46,0.64,0.18,39.13
tracksuit,0.57,0.08,0.88,0.8,1000.0
pink-coat,0.57,0.61,0.54,-0.07,-11.48
cable-knit,0.57,0.68,0.49,-0.19,-27.94
safari,0.57,0.76,0.44,-0.32,-42.11
chunky-knit,0.57,0.46,0.64,0.18,39.13
smocks,0.57,0.15,0.83,0.68,453.33
jewel-embellishment,0.57,0.15,0.83,0.68,453.33
black-suit,0.57,0.38,0.68,0.3,78.95
zigzag,0.57,1.14,0.2,-0.94,-82.46
knit-skirt,0.57,0.08,0.88,0.8,1000.0
boudoir,0.57,0.0,0.93,0.93,inf
piercing,0.57,0.76,0.44,-0.32,-42.11
shark-collar,0.57,0.0,0.93,0.93,inf
skater-dress,0.54,0.68,0.44,-0.24,-35.29
cut-out-knit,0.54,0.46,0.59,0.13,28.26
floral-shirt,0.54,0.53,0.54,0.01,1.89
army,0.54,0.76,0.39,-0.37,-48.68
sleeveless-jacket,0.54,0.3,0.68,0.38,126.67
embellished-collar,0.54,0.08,0.83,0.75,937.5
steep,0.54,0.38,0.64,0.26,68.42
bohemian,0.54,0.38,0.64,0.26,68.42
floral-jacket,0.54,0.76,0.39,-0.37,-48.68
grunge,0.54,1.29,0.05,-1.24,-96.12
silver-dress,0.54,0.23,0.73,0.5,217.39
earthy-tones,0.54,0.0,0.88,0.88,inf
fine-knit,0.54,0.46,0.59,0.13,28.26
beige-shirt,0.54,0.08,0.83,0.75,937.5
red-shirt,0.51,0.23,0.68,0.45,195.65
pagoda-sleeve,0.51,1.06,0.15,-0.91,-85.85
total-yellow,0.51,0.46,0.54,0.08,17.39
kitsch,0.51,1.14,0.1,-1.04,-91.23
1980,0.51,0.61,0.44,-0.17,-27.87
claudine,0.51,0.68,0.39,-0.29,-42.65
floral-mix,0.51,0.23,0.68,0.45,195.65
olive,0.51,0.76,0.34,-0.42,-55.26
green-skirt,0.51,0.53,0.49,-0.04,-7.55
lurex,0.51,1.29,0.0,-1.29,-100.0
embellished-denim,0.51,0.91,0.24,-0.67,-73.63
3d,0.51,0.76,0.34,-0.42,-55.26
hole,0.51,0.38,0.59,0.21,55.26
high-low-hem,0.51,0.0,0.83,0.83,inf
organza,0.51,0.0,0.83,0.83,inf
childish,0.51,0.0,0.83,0.83,inf
multicolored-stripes,0.51,0.08,0.78,0.7,875.0
short-sleeved-shirt,0.51,0.3,0.64,0.34,113.33
